id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA,Nantucket,yes,KACK,ACK,ACK
3361,KACT,medium_airport,Waco Regional Airport,31.61129951,-97.23049927,516,NA,US,US-TX,Waco,yes,KACT,ACT,ACT
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,US,US-CA,Arcata/Eureka,yes,KACV,ACV,ACV
3363,KACY,medium_airport,Atlantic City International Airport,39.45759964,-74.57720184,75,NA,US,US-NJ,Atlantic City,yes,KACY,ACY,ACY
19234,KADG,small_airport,Lenawee County Airport,41.86769867,-84.07730103,798,NA,US,US-MI,Adrian,no,KADG,ADG,ADG
19235,KADH,small_airport,Ada Regional Airport,34.804298,-96.671303,1016,NA,US,US-OK,Ada,no,KADH,ADT,ADH
19236,KADM,small_airport,Ardmore Municipal Airport,34.30301,-97.0196342,777,NA,US,US-OK,Ardmore,no,KADM,ADM,ADM
19237,KADS,small_airport,Addison Airport,32.96860123,-96.83640289,644,NA,US,US-TX,Dallas,no,KADS,ADS,ADS
3364,KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280,NA,US,US-MD,Camp Springs,no,KADW,ADW,ADW
19240,KAE,seaplane_base,Kake Seaplane Base,56.973,-133.945999,,NA,US,US-AK,Kake,no,,KAE,KAE
19244,KAEL,small_airport,Albert Lea Municipal Airport,43.68149948,-93.36720276,1260,NA,US,US-MN,Albert Lea,no,KAEL,AEL,AEL
3365,KAEX,medium_airport,Alexandria International Airport,31.32740021,-92.54979706,89,NA,US,US-LA,Alexandria,yes,KAEX,AEX,AEX
313453,KAF,small_airport,Karato Airport,-6.2655,155.3052,109,OC,PG,PG-NSB,Karato,no,,KAF,KRT
19245,KAFF,small_airport,USAF Academy Airfield,38.96969986,-104.8130035,6572,NA,US,US-CO,Colorado Springs,no,KAFF,AFF,AFF
19246,KAFJ,small_airport,Washington County Airport,40.13650131,-80.29019928,1184,NA,US,US-PA,Washington,no,KAFJ,WSG,AFJ
19248,KAFN,small_airport,Jaffrey Airport Silver Ranch Airport,42.80509949,-72.00299835,1040,NA,US,US-NH,Jaffrey,no,KAFN,AFN,AFN
19249,KAFO,small_airport,Afton Municipal Airport,42.71120071,-110.9420013,6221,NA,US,US-WY,Afton,no,KAFO,AFO,AFO
3366,KAFW,medium_airport,Fort Worth Alliance Airport,32.98759842,-97.31880188,722,NA,US,US-TX,Fort Worth,no,KAFW,AFW,AFW
3367,KAGC,medium_airport,Allegheny County Airport,40.35440063,-79.93019867,1252,NA,US,US-PA,Pittsburgh,no,KAGC,AGC,AGC
19251,KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,319,NA,US,US-AR,Magnolia,no,KAGO,AGO,AGO
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.36989975,-81.96450043,144,NA,US,US-GA,Augusta,yes,KAGS,AGS,AGS
19254,KAHC,small_airport,Amedee Army Air Field,40.26620102,-120.1529999,4012,NA,US,US-CA,Herlong,no,KAHC,AHC,AHC
19255,KAHH,small_airport,Amery Municipal Airport,45.28110123,-92.37539673,1088,NA,US,US-WI,Amery,no,KAHH,AHH,AHH
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.94860077,-83.32630157,808,NA,US,US-GA,Athens,yes,KAHN,AHN,AHN
19257,KAIA,small_airport,Alliance Municipal Airport,42.05319977,-102.8040009,3931,NA,US,US-NE,Alliance,no,KAIA,AIA,AIA
19259,KAID,small_airport,Anderson Municipal Darlington Field,40.10860062,-85.61299896,919,NA,US,US-IN,Anderson,no,KAID,AID,AID
19261,KAIK,small_airport,Aiken Regional Airport,33.649399,-81.684998,528,NA,US,US-SC,Aiken,no,KAIK,AIK,AIK
19262,KAIO,small_airport,Atlantic Municipal Airport,41.40729904,-95.04689789,1165,NA,US,US-IA,Atlantic,no,KAIO,AIO,AIO
19264,KAIV,small_airport,George Downer Airport,33.106499,-88.1978,150,NA,US,US-AL,Aliceville,no,KAIV,AIV,AIV
19266,KAIZ,small_airport,Lee C Fine Memorial Airport,38.09600067,-92.54949951,869,NA,US,US-MO,Kaiser Lake Ozark,no,KAIZ,AIZ,AIZ
